"dtype","param","subjid","fidtc","afidtc","aval","afdtc1","aval1"
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"DIOD_2020-12-31",1
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"DIOD_2021-12-31",0.9661455850900094
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"DIOD_2022-12-31",0.9410238147464962
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"DIOD_2023-12-31",0.9047351169076544
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"DIOD_2024-09-30",0.352113775102187
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"XPEL_2020-12-31",0.7533979862685405
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"XPEL_2021-12-31",0.7725867141368439
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"XPEL_2022-12-31",0.7761874368992737
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"XPEL_2023-12-31",0.7846933419905618
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"XPEL_2024-09-30",0.32146535558024836
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2020-12-31",1,"DIOD_2021-12-31",0.9661455850900095
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"DIOD_2020-12-31",1
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"DIOD_2021-12-31",0.9661455850900094
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"DIOD_2022-12-31",0.9410238147464962
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"DIOD_2023-12-31",0.9047351169076544
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"DIOD_2024-09-30",0.352113775102187
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"XPEL_2020-12-31",0.7533979862685405
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"XPEL_2021-12-31",0.7725867141368439
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31","DIOD_2021-12-31",0.9661455850900094,"XPEL_2022-12-31",0.7761874368992737
